time        x        y         z          u            v       w      Spin x     Spin y    Spin z
==================================================================================================
0.000     -1.000    55.000    6.000     -0.000    -132.030  0.000     -0.000    -0.000    -0.000    
0.001     -1.000    54.868    6.000     -0.000    -131.999  -0.032    -0.000    -0.000    -0.000    
0.002     -1.000    54.736    6.000     -0.000    -131.967  -0.064    -0.000    -0.000    -0.000    
0.003     -1.000    54.604    6.000     -0.000    -131.936  -0.097    -0.000    -0.000    -0.000    
0.004     -1.000    54.472    6.000     -0.000    -131.905  -0.129    -0.000    -0.000    -0.000    
0.005     -1.000    54.340    6.000     -0.000    -131.874  -0.161    -0.000    -0.000    -0.000    
0.006     -1.000    54.208    5.999     -0.000    -131.843  -0.193    -0.000    -0.000    -0.000    
0.007     -1.000    54.077    5.999     -0.000    -131.811  -0.225    -0.000    -0.000    -0.000    
0.008     -1.000    53.945    5.999     -0.000    -131.780  -0.257    -0.000    -0.000    -0.000    
0.009     -1.000    53.813    5.999     -0.000    -131.749  -0.289    -0.000    -0.000    -0.000    
0.010     -1.000    53.681    5.998     -0.000    -131.718  -0.322    -0.000    -0.000    -0.000    
0.011     -1.000    53.550    5.998     -0.000    -131.687  -0.354    -0.000    -0.000    -0.000    
0.012     -1.000    53.418    5.998     -0.000    -131.656  -0.386    -0.000    -0.000    -0.000    
0.013     -1.000    53.286    5.997     -0.000    -131.625  -0.418    -0.000    -0.000    -0.000    
0.014     -1.000    53.155    5.997     -0.000    -131.594  -0.450    -0.000    -0.000    -0.000    
0.015     -1.000    53.023    5.996     -0.000    -131.563  -0.482    -0.000    -0.000    -0.000    
0.016     -1.000    52.892    5.996     -0.000    -131.532  -0.514    -0.000    -0.000    -0.000    
0.017     -1.000    52.760    5.995     -0.000    -131.500  -0.546    -0.000    -0.000    -0.000    
0.018     -1.000    52.629    5.995     -0.000    -131.469  -0.578    -0.000    -0.000    -0.000    
0.019     -1.000    52.497    5.994     -0.000    -131.438  -0.610    -0.000    -0.000    -0.000    
0.020     -1.000    52.366    5.994     -0.000    -131.407  -0.642    -0.000    -0.000    -0.000    
0.021     -1.000    52.234    5.993     -0.000    -131.377  -0.675    -0.000    -0.000    -0.000    
0.022     -1.000    52.103    5.992     -0.000    -131.346  -0.707    -0.000    -0.000    -0.000    
0.023     -1.000    51.972    5.991     -0.000    -131.315  -0.739    -0.000    -0.000    -0.000    
0.024     -1.000    51.840    5.991     -0.000    -131.284  -0.771    -0.000    -0.000    -0.000    
0.025     -1.000    51.709    5.990     -0.000    -131.253  -0.803    -0.000    -0.000    -0.000    
0.026     -1.000    51.578    5.989     -0.000    -131.222  -0.835    -0.000    -0.000    -0.000    
0.027     -1.000    51.447    5.988     -0.000    -131.191  -0.867    -0.000    -0.000    -0.000    
0.028     -1.000    51.315    5.987     -0.000    -131.160  -0.899    -0.000    -0.000    -0.000    
0.029     -1.000    51.184    5.986     -0.000    -131.129  -0.931    -0.000    -0.000    -0.000    
